year,vote_party,n,criteria_ethnic,criteria_civic,criteria_all,ratio_ethnic_civic,born_qc,ancestors_qc,speak_french,lived_qc,feel_quebecer,share_values,respect_inst
2018,caq,700,0.5941026863773645,0.8295580988714035,0.7284885437245953,0.7286845737847168,0.581294964028777,0.3017241379310345,0.8965188364329996,0.6700095510983763,0.8446368446368446,0.9031175059952038,0.9018199233716475
2018,pq,392,0.558531746031746,0.8436791383219955,0.7214285714285714,0.6562202135543972,0.47874149659863946,0.2804774083546462,0.9166666666666666,0.6020408163265306,0.905982905982906,0.9362244897959183,0.9317988064791134
2018,qs,342,0.5050653594771242,0.7808823529411765,0.6621848739495798,Inf,0.45098039215686275,0.21626984126984125,0.842156862745098,0.5911764705882353,0.845771144278607,0.853731343283582,0.8372781065088757
2018,other,123,0.47651309846431794,0.7323848238482384,0.6220157439669635,Inf,0.48238482384823844,0.20491803278688525,0.7371273712737128,0.6341463414634146,0.7327823691460055,0.7704918032786885,0.7950819672131147
2018,plq,490,0.46983151183970856,0.6922244990892532,0.5960577673692428,Inf,0.4382716049382716,0.22382920110192836,0.7424863387978142,0.6762886597938144,0.6395833333333333,0.6659604519774011,0.7881944444444444
2022,caq,364,0.6056166056166056,0.7639652014652014,0.6960797139368567,Inf,0.5224977043158862,0.4432234432234432,0.8498168498168498,0.5384615384615384,0.7948717948717948,0.8379120879120879,0.8846153846153846
2022,pq,206,0.5555555555555556,0.7560679611650485,0.6701340730466944,0.7300445509183373,0.4627831715210356,0.35436893203883496,0.8495145631067961,0.4838187702265372,0.8074433656957929,0.8333333333333334,0.8996763754045307
2022,pcq,145,0.4812260536398467,0.5885057471264368,0.5423097974822113,Inf,0.45370370370370366,0.34022988505747126,0.6505747126436782,0.49885057471264366,0.5678160919540229,0.632183908045977,0.6551724137931034
2022,qs,209,0.43859649122807015,0.6782296650717703,0.5755297334244702,0.6583254708254709,0.35566188197767146,0.23125996810207336,0.7288676236044657,0.44816586921850077,0.7767145135566188,0.7033492822966507,0.784688995215311
2022,other,39,0.43304843304843305,0.5569800569800569,0.50366300366300365,Inf,0.42735042735042733,0.26495726495726496,0.6068376068376068,0.5701754385964912,0.4957264957264957,0.5128205128205128,0.6495726495726496
2022,plq,146,0.3789954337899543,0.5741379310344827,0.48956294846705806,Inf,0.3447488584474886,0.21379310344827585,0.5793103448275861,0.5678160919540229,0.5103448275862069,0.5287356321839081,0.689655172413793
